ID,단원,난이도,문제,정답,풀이
grade3_1st_step_25,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,어떤 수에서 230을 뺐더니 150이 되었습니다 어떤 수는?,380,"어떤 수에서 230을 가져갔는데도 150이 남았대! 그럼 원래는 아주 큰 수였겠지? 남은 150에 가져간 230을 다시 더해주면 원래 숫자인 380이 나온단다."
grade3_1st_step_26,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,456 + 456의 값은?,912,"똑같은 숫자를 두 번 더하는 거네? 6+6=12니까 1 올리고! 5+5+1=11이니까 또 1 올리고! 4+4+1=9니까 답은 912야. 신기한 계산이지?"
grade3_1st_step_27,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,700 - 123의 값은?,577,"700에서 빌려와야 해. 백의 자리에서 빌려오면 십의 자리는 9 일의 자리는 10이 되지? 10-3=7! 9-2=7! 6-1=5니까 정답은 577이야."
grade3_1st_step_28,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,어제 우유를 245개 팔고 오늘 189개 팔았습니다 모두 몇 개 팔았을까요?,434,"모두 몇 개인지 궁금하니까 어제랑 오늘 숫자를 더해줘! 245 더하기 189를 하면 받아올림이 두 번 생겨서 434가 된단다. 우유를 정말 많이 팔았네!"
grade3_1st_step_29,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,민수는 사탕이 512개 있고 영희는 348개 있습니다 민수는 영희보다 몇 개 더 많나요?,164,"누가 더 많은지 비교할 때는 큰 수에서 작은 수를 빼야 해. 512에서 348을 빼보자. 빌려오는 계산을 잘하면 164개 더 많다는 걸 알 수 있어!"
grade3_1st_step_30,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,어떤 수에 300을 더했더니 900이 되었습니다 어떤 수는?,600,"어떤 수에 300을 더해서 900이 됐네? 그럼 다시 300을 빼보자! 900에서 300을 빼면 600이 남지? 그래서 처음 어떤 수는 바로 600이었던 거야."
grade3_1st_step_31,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,123 + 456의 값은?,579,"3이랑 6을 더하면 9! 십의 자리 2랑 5를 더하면 7! 백의 자리 1이랑 4를 더하면 5니까 정답은 579야."
grade3_1st_step_32,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,789 - 321의 값은?,468,"9에서 1을 빼면 8! 십의 자리 8에서 2를 빼면 6! 백의 자리 7에서 3을 빼면 4니까 답은 468이야."
grade3_1st_step_33,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,어떤 수에서 400을 뺏더니 200이 되었습니다 어떤 수는?,600,"어떤 수에서 400을 빼서 200이 됐네? 그럼 다시 400을 더해보자! 200에 400을 더하면 600이 되지? 그래서 처음 어떤 수는 바로 600이었던 거야."
grade3_1st_step_34,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,사탕 800개 중에서 250개를 나눠줬습니다 남은 사탕은?,550,"800에서 250을 빼보자! 일의 자리 0에서 0을 빼면 0! 십의 자리 0에서 5를 못 빼니까 빌려와서 10-5=5! 백의 자리 7에서 2를 빼면 5니까 남은 사탕은 550개야."
grade3_1st_step_35,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,어떤 수에 150을 더했더니 450이 되었습니다 어떤 수는?,300,"어떤 수에 150을 더해서 450이 됐네? 그럼 다시 150을 빼보자! 450에서 150을 빼면 300이 남지? 그래서 처음 어떤 수는 바로 300이었던 거야."
grade3_1st_step_36,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,456 + 123의 값은?,579,"6이랑 3을 더하면 9! 십의 자리 5랑 2를 더하면 7! 백의 자리 4랑 1을 더하면 5니까 정답은 579야."
grade3_1st_step_37,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,789 - 123의 값은?,666,"9에서 3을 빼면 6! 십의 자리 8에서 2를 빼면 6! 백의 자리 7에서 1을 빼면 6이니까 답은 666이야."
grade3_1st_step_38,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,어떤 수에서 200을 뺏더니 300이 되었습니다 어떤 수는?,500,"어떤 수에서 200을 빼서 300이 됐네? 그럼 다시 200을 더해보자! 300에 200을 더하면 500이 되지? 그래서 처음 어떤 수는 바로 500이었던 거야."
grade3_1st_step_39,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,사탕 900개 중에서 350개를 나눠줬습니다 남은 사탕은?,550,"900에서 350을 빼보자! 일의 자리 0에서 0을 빼면 0! 십의 자리 0에서 5를 못 빼니까 빌려와서 10-5=5! 백의 자리 8에서 3을 빼면 5니까 남은 사탕은 550개야."
grade3_1st_step_40,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,250 + 250의 값은?,500,"우리 친구들 250원씩 두 번 모으면 얼마가 될까? 0+0=0! 5+5=10이라 1 올리고! 2+2+1=5니까 정답은 기분 좋은 500이야!"
grade3_1st_step_41,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,어떤 수에서 50을 뺐더니 900이 되었습니다 어떤 수는?,950,"어떤 수에서 50을 뺐는데도 900이나 남았네? 그럼 원래는 900보다 50만큼 더 큰 수였겠지? 둘을 더하면 원래 수 950을 찾을 수 있어."
grade3_1st_step_42,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,678 + 122의 값은?,800,"8+2=10이라 1 올리고! 7+2+1도 10이라 또 1 올리고! 6+1+1=8이니까 정답은 800이야. 0이 두 개나 생겨서 아주 깔끔한 답이네."
grade3_1st_step_43,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,버디네 집에서 학교까지는 450m 학교에서 공원까지는 380m입니다 모두 몇 m인가요?,830,"전체 거리를 구하려면 두 길이를 합쳐야 해. 450 더하기 380을 해볼까? 5+8=13이라 1 올리고 4+3+1=8이니까 총 830m란다."
grade3_1st_step_44,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,사탕 1000개 중에서 1개만 먹었습니다 남은 사탕은?,999,"1000에서 딱 하나만 뺀 거니까 1000보다 1 작은 수를 찾으면 돼. 그게 바로 세 자리 수 중에서 제일 큰 999란다!"
grade3_1st_step_45,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,327 + 143의 값은?,470,"7이랑 3을 더하면 10이지? 0 쓰고 1을 올리자. 십의 자리는 2+4+1=7! 백의 자리는 3+1=4니까 정답은 470이야."
grade3_1st_step_46,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,765 - 432의 값은?,333,"자~ 빌려올 게 하나도 없네? 일의 자리는 5-2=3! 십의 자리는 6-3=3! 백의 자리는 7-4=3! 전부 3이라서 답은 333이야. 억수로 쉽지?"
grade3_1st_step_47,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,어떤 수에 220을 더했더니 550이 되었습니다 어떤 수는?,330,"550에서 더했던 220을 다시 빼보자! 0-0=0! 5-2=3! 5-2=3! 그래서 어떤 수는 바로 330이었던 거야."
grade3_1st_step_48,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,156 + 244의 값은?,400,"6+4=10이라 1 올리고! 5+4+1도 10이라 또 1 올리고! 1+2+1=4니까 정답은 400! 받아올림만 잘하면 백 점이야!"
grade3_1st_step_49,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,987 - 123의 값은?,864,"뒤에서부터 빼볼까? 7-3=4! 8-2=6! 9-1=8! 받아내림이 없어서 아주 술술 풀리네? 답은 864란다."
grade3_1st_step_50,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,333 + 666의 값은?,999,"와! 3이랑 6을 더하면 다 9가 되네? 일의 자리도 9 십의 자리도 9 백의 자리도 9니까 정답은 999야. 정말 멋진 숫자지?"
grade3_1st_step_51,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,두 점을 곧게 이은 선을 무엇이라고 합니까?,선분,"자~ 여기 점 두 개가 있지? 이 두 점을 자를 대고 곧게 이은 선을 우리는 '선분'이라고 부르기로 약속했단다. 굽어지지 않고 곧게 가야 해!"
grade3_1st_step_52,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,한 점에서 시작하여 한쪽으로 끝없이 늘인 곧은 선은?,반직선,"한쪽은 딱 막혀있는데 다른 한쪽으로만 화살표처럼 쭉~ 늘어나는 선이지? 그래서 이름이 반만 직선인 '반직선'이야. 시작점이 어디인지가 중요해!"
grade3_1st_step_53,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,양쪽으로 끝없이 늘인 곧은 선을 무엇이라고 합니까?,직선,"양쪽 끝이 없이 양방향으로 계속 길어지는 곧은 선을 우리는 '직선'이라고 부른단다. 끝이 없으니 지구 한 바퀴를 돌 수도 있겠지?"
grade3_1st_step_54,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,한 점에서 그은 두 반직선으로 이루어진 도형은?,각,"한 점 꼭짓점에서 반직선 두 개가 다리처럼 쫙 벌어지면 생기는 모양을 '각'이라고 해. 벌어진 정도가 클수록 각도 커지는 거야."
grade3_1st_step_55,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,종이를 반듯하게 두 번 접었을 때 생기는 각은?,직각,"종이를 예쁘게 반 접고 또 반 접어서 펼쳐봐! 그때 생기는 아주 반듯한 각을 '직각'이라고 부른단다. 우리 주변의 책상 모서리 같은 모양이지."
grade3_1st_step_56,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,한 각이 직각인 삼각형의 이름은 무엇입니까?,직각삼각형,"삼각형 세 각 중에서 하나라도 직각이 들어있으면 그 이름에 직각을 붙여서 '직각삼각형'이라고 해. 아주 든든하게 서 있는 모양이지!"
grade3_1st_step_57,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,네 각이 모두 직각인 사각형은 무엇입니까?,직사각형,"네 모서리가 모두 반듯반듯하게 직각인 사각형이지? 그래서 '직사각형'이라고 부르는 거야. 칠판이나 TV 화면을 생각하면 쉬워!"
grade3_1st_step_58,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,네 각이 모두 직각이고 네 변의 길이가 모두 같은 사각형은?,정사각형,"각도 직각이고 네 변의 길이까지 모두 똑같으니 정말 완벽하지? 그래서 바를 정자를 써서 '정사각형'이라고 부른단다."
grade3_1st_step_59,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,각 ㄱㄴㄷ에서 꼭짓점은 어디입니까?,점 ㄴ,"각의 이름에서 가운데에 있는 글자가 바로 두 선이 만나는 꼭짓점이야. 기차의 연결고리 같은 부분이지! 그래서 정답은 점 ㄴ이란다."
grade3_1st_step_60,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,반직선 ㄱㄴ과 반직선 ㄴㄱ은 같은 도형입니까?,아니오,"반직선은 시작하는 점이 아주 중요해! 하나는 ㄱ에서 출발하고 하나는 ㄴ에서 출발하니까 서로 가는 방향이 달라서 같은 도형이 아니야."
grade3_1st_step_61,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,선분은 길이를 잴 수 있나요?,예,"선분은 시작과 끝이 딱 정해져 있는 곧은 선이야. 그래서 자를 대고 몇 cm인지 정확하게 잴 수 있단다!"
grade3_1st_step_62,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,직선은 길이를 잴 수 있나요?,아니오,"직선은 양쪽으로 끝없이 계속 늘어나는 선이라서 끝이 없어! 끝이 없으면 자를 어디까지 대야 할지 알 수 없으니 잴 수 없단다."
grade3_1st_step_63,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,각의 변은 몇 개입니까?,2개,"꼭짓점에서 뻗어 나가는 팔이 몇 개일까? 두 개지? 그 팔들을 각의 '변'이라고 부른단다. 팔이 두 개여야 각이 만들어져!"
grade3_1st_step_64,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,직각삼각형의 세 각 중 하나는 반드시 몇 도입니까?,90도,"직각삼각형이라는 이름에 힌트가 있어! 직각은 바로 90도란다. 그래서 한 각은 꼭 90도여야 해."
grade3_1st_step_65,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,삼각형의 꼭짓점은 모두 몇 개입니까?,3개,"세모 모양 삼각형은 변도 3개고 뾰족한 꼭짓점도 당연히 3개란다. 친구 세 명이 손을 잡고 서 있는 모양이지!"
grade3_1st_step_66,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,사각형의 꼭짓점은 모두 몇 개입니까?,4개,"네모 모양 사각형은 변이 4개니까 만나는 점인 꼭짓점도 당연히 4개가 된단다. 우유갑 윗면을 봐도 알 수 있어!"
grade3_1st_step_67,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,선분 ㄱㄴ을 기호로 쓸 때 무엇이라고 하나요?,선분 ㄱㄴ,"약속한 대로 이름을 붙여주면 돼. 점 ㄱ과 점 ㄴ을 이었으니까 '선분 ㄱㄴ'이라고 부르는 거지."
grade3_1st_step_68,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,원에는 각이 있나요?,아니오,"각은 곧은 선 두 개가 만나야 생겨. 그런데 원은 굽은 선으로만 이루어져 있어서 뾰족한 각이 하나도 없단다."
grade3_1st_step_69,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,직사각형의 네 각의 합은 몇 도입니까?,360도,"직각이 90도인데 직사각형에는 직각이 4개나 있지? 90을 네 번 더하면 360도가 된단다. 한 바퀴 뱅글 도는 각도랑 똑같네!"
grade3_1st_step_70,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,정사각형은 네 변의 길이가 모두 같아야 합니까?,예,"정사각형은 각도 모두 직각이어야 하고 네 변의 길이도 모두 똑같아야 해. 하나라도 다르면 정사각형이 아니야!"
grade3_1st_step_71,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,우리 주변에서 볼 수 있는 직사각형 모양은?,책,"우리 공부하는 책이나 공책을 봐봐! 네 귀퉁이가 반듯한 직각형이지? 그게 바로 직사각형이란다."
grade3_1st_step_72,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,각을 읽을 때 꼭짓점이 어디에 오도록 읽나요?,가운데,"각 ㄱㄴㄷ이라고 읽을 때 꼭짓점인 ㄴ을 항상 중간에 넣어야 해. ㄴ이 바로 두 선이 만나는 연결점이기 때문이야!"
grade3_1st_step_73,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,각의 변은 반직선입니까?,예,"각의 꼭짓점에서 시작해서 한쪽으로 쭉 뻗어 나가는 선이니까 각의 변은 반직선이라고 할 수 있어."
grade3_1st_step_74,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,삼각형에 직각이 2개 있을 수 있나요?,아니오,"삼각형에 직각이 2개가 되면 두 선이 영원히 만나지 못해! 그래서 삼각형 모양을 만들 수가 없단다."
grade3_1st_step_75,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,직사각형과 정사각형의 공통점은 무엇입니까?,네 각이 직각,"두 사각형 모두 네 모서리가 아주 반듯하게 직각이라는 점이 똑같아. 모양이 아주 반듯하지?"
grade3_1st_step_76,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,반직선은 시작점과 방향이 중요한가요?,예,"어디서 시작해서 어느 쪽으로 뻗어 나가는지가 정말 중요해! 그래서 시작점이 다르면 다른 도형이 된단다."
grade3_1st_step_77,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,곧은 선이 아닌 선을 무엇이라고 부르나요?,굽은 선,"꼬불꼬불한 라면 면발이나 동그라미처럼 휘어진 선은 곧은 선이 아니라 '굽은 선'이라고 부른단다."
grade3_1st_step_78,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,직각삼각형에서 직각을 뺀 나머지 두 각은 직각보다 작나요?,예,"삼각형의 모든 각을 합치면 180도거든. 한 각이 이미 90도니까 나머지는 90도보다 작아야 삼각형이 돼!"
grade3_1st_step_79,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,색종이를 세모 모양으로 반 접으면 생기는 각은?,직각,"정사각형 색종이를 대각선으로 예쁘게 접으면 큰 직각이 하나 생겨. 이게 바로 직각삼각형이 되는 과정이야!"
grade3_1st_step_80,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,네 각이 직각이면 무조건 정사각형입니까?,아니오,"네 각이 직각이어도 변의 길이가 다를 수 있어! 그럼 직사각형이지. 네 변까지 같아야 정사각형이란다."
grade3_1st_step_81,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,삼각형은 최소 몇 개의 선분으로 이루어지나요?,3개,"세모를 만들려면 막대기가 최소 3개는 있어야 해. 2개만 있으면 벌어진 각만 되고 닫힌 모양이 안 되거든!"
grade3_1st_step_82,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,직사각형은 네 변의 길이가 마주 보는 것끼리 같습니까?,예,"직사각형은 마주 보고 있는 변끼리 길이가 사이좋게 똑같아. 그래서 모양이 균형 있게 잡히는 거야."
grade3_1st_step_83,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,각도기에 있는 직각은 몇 도입니까?,90도,"각도기를 보면 수직으로 우뚝 솟은 숫자가 있지? 그게 바로 90도이고 우리가 배우는 직각이란다."
grade3_1st_step_84,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,정사각형 4개를 이어 붙이면 어떤 모양이 되나요?,사각형,"작은 정사각형 4개를 창문 모양으로 붙이면 더 큰 사각형이 만들어져. 이것도 역시 정사각형이 되겠지?"
grade3_1st_step_85,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,꼭짓점이 0개인 평면도형은?,원,"동그란 원은 선이 굽어 있어서 꺾이는 곳이 없어. 그래서 뾰족한 꼭짓점이 하나도 없는 매끄러운 모양이야."
grade3_1st_step_86,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,선분 ㄱㄴ과 선분 ㄴㄱ은 같은 도형인가요?,예,"선분은 두 점 사이를 잇기만 하면 돼서 어디서 먼저 시작하든 똑같은 선이 된단다. 기차 선로랑 똑같지!"
grade3_1st_step_87,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,시계의 시침과 분침이 9시를 가리킬 때 이루는 각은?,직각,"9시 정각을 봐봐! 시침은 왼쪽 분침은 위쪽을 가리키지? 반듯한 기역자 모양인 직각이 만들어진단다."
grade3_1st_step_88,1-2단원. 평면도형 (선분 & 직선 & 각 & 직각삼각형 등),1,한 직선 위에 있는 세 점 중 두 점을 골라 선분을 몇 개 만들 수 있나요?,3개,"점 A B C가 있으면 AB BC AC 이렇게 세 가지 선분을 만들 수 있어. 연결하는 재미가 있지?"
